Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_08_327.jpg;0;0;0;0;134.1912;114.0587;0.0002356504;133.9967;-1.047839E-06
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_08_378.jpg;0;0;0;0;134.1912;114.0587;0.0002384449;133.9967;-9.682662E-07
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_08_428.jpg;0;0;0;0;134.1912;114.0587;0.000240308;133.9967;-9.15218E-07
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_08_478.jpg;0;0;0;0;134.1912;114.0587;0.0002425859;133.9967;-1.259953E-06
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_08_529.jpg;0;0;0;0;134.1912;114.0587;0.0002440122;133.9967;-1.433304E-06
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_08_578.jpg;0;0;0;0;134.1912;114.0587;0.0002457363;133.9967;-1.439232E-06
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_08_629.jpg;0;0;0;0;134.1912;114.0587;0.0002468857;133.9967;-1.443186E-06
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_08_678.jpg;0;0;0;0;134.1912;114.0587;0.000248273;133.9967;-1.428139E-06
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_08_728.jpg;0;0;0;0;134.1912;114.0587;0.0002487488;133.9967;-1.390137E-06
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_08_778.jpg;0;0;0;0;134.1912;114.0587;0.0002493435;133.9967;-1.342639E-06
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_08_828.jpg;0;0;0;0;134.1912;114.0587;0.0002495814;133.9967;-1.323638E-06
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_08_878.jpg;0;0;0;0;134.1912;114.0587;0.0002496413;133.9967;-1.175209E-06
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_08_928.jpg;0;0;0;0;134.1912;114.0587;0.0002495424;133.9967;-1.135234E-06
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_08_978.jpg;0;0;0;0;134.1912;114.0587;0.0002492455;133.9967;-1.015302E-06
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_09_029.jpg;0;0;0;0;134.1912;114.0587;0.0002491655;133.9967;-1.213204E-06
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_09_078.jpg;0;0;0;0;134.1912;114.0587;0.0002486698;133.9967;-1.300684E-06
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_09_128.jpg;0;0;0;0;134.1912;114.0587;0.000248372;133.9967;-1.468114E-06
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_09_178.jpg;0;0;0;0;134.1912;114.0587;0.0002478172;133.9967;-1.416661E-06
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_09_229.jpg;0;0;0;0;134.1912;114.0587;0.0002474214;133.9967;-1.256761E-06
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_09_278.jpg;0;0;0;0;134.1912;114.0587;0.0002467088;133.9967;-1.026402E-06
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_09_329.jpg;0;0;0;0;134.1912;114.0587;0.0002460751;133.9967;-8.854956E-07
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_09_379.jpg;0;0;0;0;134.1912;114.0587;0.0002451246;133.9967;-6.741432E-07
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_09_429.jpg;0;0;0;0;134.1912;114.0587;0.0002443519;133.9967;-5.922129E-07
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_09_478.jpg;0;0;0;0;134.1912;114.0587;0.0002430446;133.9967;-4.093647E-07
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_09_529.jpg;0;0;0;0;134.1912;114.0587;0.00024239;133.9967;-6.052926E-07
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_09_579.jpg;0;0;0;0;134.1912;114.0587;0.0002412595;133.9967;-8.392218E-07
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_09_629.jpg;0;0;0;0;134.1912;114.0587;0.0002406648;133.9967;-8.867202E-07
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_09_679.jpg;0;0;0;0;134.1912;114.0587;0.0002400112;133.9967;-7.952929E-07
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_09_729.jpg;0;0;0;0;134.1912;114.0587;0.0002393775;133.9967;-6.543869E-07
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_09_778.jpg;0;0.1503172;0;0;134.1911;114.0588;0.00502867;133.9984;1.500107E-05
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_09_828.jpg;0;0.3003264;0;0;134.1911;114.0588;0.004258827;134.0305;-3.0942E-06
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_09_878.jpg;0;0.4498503;0;0.03448379;134.1891;114.0608;0.06520517;134.0216;-3.801963E-06
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_09_928.jpg;0;0.5993048;0;0.03852589;134.1876;114.0624;0.1102513;133.8858;0.0002929083
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_09_978.jpg;0;0.7499713;0;0.08255386;134.1828;114.0673;0.2473879;133.9524;9.965232E-05
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_10_029.jpg;0;0.9002259;0;0.1036099;134.1784;114.0719;0.3717024;134.0482;-0.0004985743
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_10_078.jpg;0;1;0;0.1482307;134.1697;114.0809;0.5850642;133.9889;-0.0007603117
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_10_128.jpg;0;1;0;0.1793485;134.1625;114.0884;0.7458628;134.0305;7.46048E-05
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_10_179.jpg;0;1;0;0.224548;134.1504;114.101;0.9851668;133.9384;-0.0002086184
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_10_229.jpg;0;1;0;0.2736139;134.1407;114.1112;1.164123;133.9196;-0.00128877
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_10_278.jpg;0;1;0;0.3133531;134.1261;114.1265;1.326864;133.8772;-0.000720458
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_10_328.jpg;0;1;0;0.3270153;134.1175;114.1357;1.265783;133.8701;-0.003274727
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_10_378.jpg;0;1;0;0.4054228;134.1023;114.1515;1.146736;133.9496;-0.0005427885
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_10_428.jpg;0;1;0;0.4369806;134.0902;114.1642;1.115669;133.868;0.0004683302
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_10_478.jpg;0;1;0;0.4852202;134.0701;114.1853;1.108416;133.8012;-0.0007331286
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_10_528.jpg;0;1;0;0.5219493;134.0552;114.2009;1.134698;133.8204;-0.0008444677
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_10_578.jpg;0;1;0;0.5585039;134.0308;114.2265;1.205484;133.739;0.0004877994
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_10_629.jpg;0;1;0;0.6059487;134.0134;114.2447;1.241299;133.639;0.0006161156
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_10_679.jpg;0;1;0;0.6493245;133.9865;114.2729;1.226123;133.5377;-0.001290855
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_10_728.jpg;0;1;0;0.6731884;133.9681;114.2922;1.18452;133.5307;-0.0003700298
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_10_779.jpg;0;1;0;0.7367508;133.938;114.3241;1.177933;133.542;0.0003168437
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_10_828.jpg;0;1;0;0.7669234;133.9163;114.3471;1.204055;133.5147;-0.0003583972
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_10_878.jpg;0;1;0;0.8178564;133.8824;114.3831;1.229929;133.5507;-0.001803265
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_10_928.jpg;0;1;0;0.8607268;133.8584;114.4085;1.244441;133.5366;-0.0006421893
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_10_978.jpg;0;1;0;0.9003416;133.8213;114.448;1.240214;133.5577;-0.0008930162
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_11_029.jpg;0;1;0;0.9402511;133.7953;114.4755;1.23114;133.5577;-0.0006790668
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_11_079.jpg;0;1;0;0.9892571;133.755;114.5183;1.207364;133.594;-0.001615432
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_11_128.jpg;0;1;0;1.010212;133.7269;114.548;1.204648;133.5749;-0.000260165
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_11_179.jpg;0;1;0;1.06154;133.6828;114.5947;1.229499;133.6106;-0.001139757
D:/AAAProjects/AAAAUdacity/RoverCiel/cl_data/recording0/IMG/robocam_2018_06_30_19_35_11_229.jpg;0;1;0;1.093879;133.6524;114.6269;1.235891;133.6434;-0.001259155
